Study#,TreatmentInt,Treatment,Group,Assignment#,Alias,Line,Branch,Conditional,Redundancies,AssignmentGrade,Number of Submissions,Avg LC % Change,Avg BC % Change,Avg CC % Change,Avg R % Change,Avg Time Between Submissions
1,1,Raw,A,5,S06,0.54,0.52,0.2,2,65,7,0,0.018823015,0.0230013,0.156122449,7.478020172
1,1,Raw,A,5,S07,0.21,0.28,0.64,6,57.5,9,0.000491787,0.009916039,-0.00393281,0.053218695,7.235919581
1,1,Raw,A,5,S08,0.48,0.27,0.35,2,62.5,4,-0.004513344,0.018482699,0.018259936,-0.041666667,10.00215
1,1,Raw,A,5,S09,0.26,0.64,0.39,3,63.75,6,-0.013761468,0.041738963,0.007263591,0.102777778,6.379588975
1,1,Raw,A,5,S10,0.43,0.28,0.24,4,57.5,4,-0.004901961,0,-0.01635514,0.05,7.8140925
1,1,Raw,A,5,S11,0.22,0.57,0.41,6,55,8,0.019519239,0.007642727,0.031844236,0.047371032,6.550204589
1,1,Raw,A,5,S12,0.51,0.64,0.47,1,71.25,6,0.011369584,0.016483516,0.010514611,0,6.639994032
1,1,Raw,A,5,S13,0.24,0.36,0.63,1,66.25,5,0.000238949,0.01662815,-0.002268297,0.216666667,7.30017288
1,2,Conceptual,B,5,S01,0.88,0.61,0.89,0,85,4,-0.021432497,0.186090226,0.280136817,0.375,6.127161563
1,2,Conceptual,B,5,S02,0.91,0.89,0.73,0,88.75,4,0.162878788,0.348432557,0.304168811,0.333333333,6.653705625
1,2,Conceptual,B,5,S03,0.53,0.35,0.58,3,63.75,4,-0.004901961,0.229294166,0.144558228,0.238636364,6.20685525
1,2,Conceptual,B,5,S04,0.86,0.93,0.95,0,96.25,1,0,0,0,0,0
1,2,Conceptual,B,5,S05,0.79,0.9,0.81,4,87.5,4,0.037356322,0.14514652,0,0.121428571,2.78791275
1,2,Conceptual,B,5,S06,0.66,0.62,0.79,3,77.5,2,0,0.037634409,0.015463918,0,5.16375
1,2,Conceptual,B,5,S07,0.36,0.7,0.45,2,67.5,4,0.140625,0.240196078,-0.007281553,0.125,6.533982
1,2,Conceptual,B,5,S08,0.81,0.59,0.66,2,76.25,4,0.479921394,0,-0.011625691,-0.25,4.8293625
1,2,Conceptual,B,5,S09,0.61,0.9,0.8,4,83.75,5,0.141445437,0.27816092,0.292246746,0.155982906,5.779244832
1,2,Conceptual,B,5,S10,0.92,0.66,0.82,4,83.75,3,0,-0.009708738,0.205377606,0,4.5738
1,2,Conceptual,B,5,S11,0.68,0.45,0.56,0,72.5,4,0.024725275,0.159983292,0.078947368,0.392857143,5.360458875
1,2,Conceptual,B,5,S12,0.47,0.75,0.42,2,71.25,4,0.091099209,0.056361877,0.012941919,0.166666667,5.808547875
1,2,Conceptual,B,5,S13,0.46,0.91,0.75,4,81.25,1,0,0,0,0,0
1,2,Conceptual,B,5,S14,0.83,0.9,0.79,2,90,2,-0.041284404,-0.037037037,0.149350649,0.166666667,5.8725
1,2,Conceptual,B,5,S15,0.39,0.7,0.91,3,76.25,3,0.21844267,0.092425759,0.12962963,-0.5,5.1832
2,1,Raw,A,1,S01,0.36,0.57,0.2,2,62.5,5,0.006101835,0.033913413,0.000398444,-0.2,7.63036992
2,1,Raw,A,1,S02,0.42,0.21,0.24,7,52.5,1,0,0,0,0,0
2,1,Raw,A,1,S03,0.13,0.59,0.54,9,55,5,0.002621635,0.011575481,0.028113553,-0.002777778,7.67340396
2,1,Raw,A,1,S04,0.37,0.48,0.6,4,65,6,0.030410085,0.048675712,0.023427961,0.033333333,8.670222
2,1,Raw,A,1,S05,0.59,0.53,0.24,3,63.75,5,0,0.025965787,0.023576871,0,10.46863322
2,1,Raw,A,1,S06,0.12,0.18,0.1,6,52.5,1,0,0,0,0,0
